,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
930,NHL 97,Black Pearl Software,EA Sports,Unreleased,"October 31, 1996","November 28, 1996",,,1996-10-31,1996-11-28,,,1996,10,1996,11
931,NHL 98,THQ,EA Sports,Unreleased,"October 23, 1997",Unreleased,,,1997-10-23,,,,1997,10,,
932,NHL Stanley Cup•Super HockeyEU,Sculptured Software,Nintendo,Unreleased,November 1993,1993,,,1993-11-01,1993-01-01,,,1993,11,1993,1
933,NHLPA Hockey '93,Electronic Arts,EA Sports,Unreleased,"December 31, 1992","April 5, 1993",,,1992-12-31,1993-04-05,,,1992,12,1993,4
934,Nice de Shot,Magical Company,ASK,"April 29, 1994",Unreleased,Unreleased,,1994-04-29,,,1994,4,,,,
935,Nichibutsu Arcade Classics,Syscom,Nichibutsu,"May 26, 1995",Unreleased,Unreleased,,1995-05-26,,,1995,5,,,,
936,Nichibutsu Arcade Classics 2: Heiankyo Alien,Syscom,Nichibutsu,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
937,Nichibutsu Collection 1,,Nichibutsu,"November 29, 1996",Unreleased,Unreleased,,1996-11-29,,,1996,11,,,,
938,Nichibutsu Collection 2,,Nichibutsu,"December 27, 1996",Unreleased,Unreleased,,1996-12-27,,,1996,12,,,,
939,Nickelodeon Guts,Viacom New Media,Viacom New Media,Unreleased,November 1994,Unreleased,,,1994-11-01,,,,1994,11,,
940,Nigel Mansell's World Championship Racing•Nigel Mansell's World ChampionshipEU•Nigel Mansell's F-1 ChallengeJP,Gremlin Interactive,GameTek,"March 19, 1993",July 1993,"December 16, 1993",,1993-03-19,1993-07-01,1993-12-16,1993,3,1993,7,1993,12
941,Ninja Gaiden Trilogy•Ninja Ryuukenden TomoeJP,Tecmo,Tecmo,"August 11, 1995","August 10, 1995",Unreleased,,1995-08-11,1995-08-10,,1995,8,1995,8,,
942,Ninja Warriors•Ninja Warriors: The New GenerationEU•The Ninja Warriors AgainJP,Natsume,Taito,"January 28, 1994","February 15, 1994",April 1995,,1994-01-28,1994-02-15,1995-04-01,1994,1,1994,2,1995,4
943,Nintama Rantarou,,Culture Brain,"July 28, 1995",Unreleased,Unreleased,,1995-07-28,,,1995,7,,,,
944,Nintama Rantarou: Ninjutsu Gakuen Puzzle Taikai no Dan,,Culture Brain,"June 28, 1996",Unreleased,Unreleased,,1996-06-28,,,1996,6,,,,
945,Nintama Rantarou 2,,Culture Brain,"March 29, 1996",Unreleased,Unreleased,,1996-03-29,,,1996,3,,,,
946,Nintama Rantarou 3,,Culture Brain,"February 28, 1997",Unreleased,Unreleased,,1997-02-28,,,1997,2,,,,
947,Nintama Rantarou Special,,Culture Brain,"August 9, 1996",Unreleased,Unreleased,,1996-08-09,,,1996,8,,,,
948,Nishijin Pachinko Monogatari,,KSS,"June 23, 1995",Unreleased,Unreleased,,1995-06-23,,,1995,6,,,,
949,Nishijin Pachinko Monogatari 2,Soft Machine,KSS,"June 28, 1996",Unreleased,Unreleased,,1996-06-28,,,1996,6,,,,
950,Nishijin Pachinko Monogatari 3,Soft Machine,KSS,"December 20, 1996",Unreleased,Unreleased,,1996-12-20,,,1996,12,,,,
951,No Escape,Bits Studios,Sony Imagesoft,Unreleased,November 1994,Unreleased,,,1994-11-01,,,,1994,11,,
952,Nobunaga Kouki,,Yanoman,"January 29, 1993",Unreleased,Unreleased,,1993-01-29,,,1993,1,,,,
953,Nobunaga no Yabou: Haouden,,Koei,"December 9, 1993",Unreleased,Unreleased,,1993-12-09,,,1993,12,,,,
954,Nobunaga no Yabou: Tenshouki,,Koei,"January 26, 1996",Unreleased,Unreleased,,1996-01-26,,,1996,1,,,,
955,Nobunaga's Ambition•Nobunaga no Yabou: ZenkokubanJP,Koei,Koei,"August 5, 1993",December 1993,Unreleased,,1993-08-05,1993-12-01,,1993,8,1993,12,,
956,Nobunaga's Ambition: Lord of Darkness•Super Nobunaga no Yabou: Bushou Fuu'unrokuJP,Koei,Koei,"December 21, 1991",October 1994,Unreleased,,1991-12-21,1994-10-01,,1991,12,1994,10,,
957,Nomark Baku Haitou: Shijou Saikyou no Jakushi Tatsu,,Angel,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
958,Nolan Ryan's Baseball•Super StadiumJP,Romstar,Romstar,"July 2, 1991","February 28, 1992",Unreleased,,1991-07-02,1992-02-28,,1991,7,1992,2,,
959,Nontan to Issho: Kurukuru Puzzle,Game Freak,Victor Interactive Software,"November 25, 1994",Unreleased,Unreleased,,1994-11-25,,,1994,11,,,,
960,Nosferatu,SETA,SETA,"October 7, 1994",October 1995,Unreleased,,1994-10-07,1995-10-01,,1994,10,1995,10,,
961,Numbers Paradise,ISCO,Acclaim Japan,"August 30, 1996",Unreleased,Unreleased,,1996-08-30,,,1996,8,,,,
962,Obitus,Psygnosis,Bullet-Proof Software,Unreleased,September 1994,Unreleased,,,1994-09-01,,,,1994,9,,
963,Ochan no Oekaki Logic,Game Studio,Sunsoft,"December 1, 1995",Unreleased,Unreleased,,1995-12-01,,,1995,12,,,,
964,Oda Nobunaga: Haou no Gundan,Tose,Angel,"February 26, 1993",Unreleased,Unreleased,,1993-02-26,,,1993,2,,,,
965,Oekaki Logic,,Sekaibunka Publishing,"June 1, 1999",Unreleased,Unreleased,,1999-06-01,,,1999,6,,,,
966,Oekaki Logic 2,,Sekaibunka Publishing,"November 1, 1999",Unreleased,Unreleased,,1999-11-01,,,1999,11,,,,
967,Ogre Battle: The March of the Black Queen•Densetsu no Ogre BattleJP,Quest,Enix,"March 12, 1993","May 15, 1995",Unreleased,,1993-03-12,1995-05-15,,1993,3,1995,5,,
968,Olympic Summer Games,Black Pearl Software / Tiertex,U.S. Gold,Unreleased,June 1996,"June 27, 1996",,,1996-06-01,1996-06-27,,,1996,6,1996,6
969,Okamoto Ayako to Match Play Golf,C.P. Brain,Tsukuda Original,"December 21, 1994",Unreleased,Unreleased,,1994-12-21,,,1994,12,,,,
970,Olivia's Mystery,,Altron,"February 4, 1994",Unreleased,Unreleased,,1994-02-04,,,1994,2,,,,
971,On the Ball•CameltryJP,Taito,Taito,"June 26, 1992","November 1, 1992",1992,,1992-06-26,1992-11-01,1992-01-01,1992,6,1992,11,1992,1
972,Ongaku Tsukuuru: Kanadeeru,Success,ASCII,"April 12, 1996",Unreleased,Unreleased,,1996-04-12,,,1996,4,,,,
973,Onita Atsushi FMW,Marionette,Pony Canyon,"August 6, 1993",Unreleased,Unreleased,,1993-08-06,,,1993,8,,,,
974,Onizuka Katsuya Super Virtual Boxing,Sting Entertainment,SOFEL,"November 26, 1993",Unreleased,Unreleased,,1993-11-26,,,1993,11,,,,
975,Operation Europe: Path to Victory 1939–1945•Europa SensenJP,Koei,Koei,"January 16, 1993",June 1994,Unreleased,,1993-01-16,1994-06-01,,1993,1,1994,6,,
976,Operation Logic Bomb•Ikari no YousaiJP,Jaleco,Jaleco,"April 23, 1993",September 1993,1993,,1993-04-23,1993-09-01,1993-01-01,1993,4,1993,9,1993,1
977,Operation Thunderbolt,Aisystem Tokyo,Taito,Unreleased,October 1994,Unreleased,,,1994-10-01,,,,1994,10,,
978,Oraga Land Shusai: Best Farmer Shuukaku-Sai,Graphic Research,Vic Tokai,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
979,Oscar,Flair Software,Titus Software,Unreleased,October 1996,December 1996,,,1996-10-01,1996-12-01,,,1996,10,1996,12
980,Ossu!! Karatebu,Culture Brain,Culture Brain,"August 26, 1994",Unreleased,Unreleased,,1994-08-26,,,1994,8,,,,
981,Othello World,Dice,Tsukuda Original,"April 5, 1992",Unreleased,Unreleased,,1992-04-05,,,1992,4,,,,
982,Otoboke Ninja Colosseum,Mint,Intec,"February 25, 1995",Unreleased,Unreleased,,1995-02-25,,,1995,2,,,,
983,Otogirisou,Chunsoft,Chunsoft,"March 7, 1992",Unreleased,Unreleased,,1992-03-07,,,1992,3,,,,
984,Out of This World•Another WorldEU•Outer WorldJP,Delphine Software International,Interplay Entertainment,"November 27, 1992","November 1, 1992",1992,,1992-11-27,1992-11-01,1992-01-01,1992,11,1992,11,1992,1
985,Out to Lunch,Mindscape,Mindscape,Unreleased,November 1993,September 1993,,,1993-11-01,1993-09-01,,,1993,11,1993,9
986,Outlander,Mindscape,Mindscape,Unreleased,April 1993,1993,,,1993-04-01,1993-01-01,,,1993,4,1993,1
987,Ōzumō Spirit,,Takara,"December 11, 1992",Unreleased,Unreleased,,1992-12-11,,,1992,12,,,,
988,P.T.O.: Pacific Theater of Operations•Teitoku no KetsudanJP,Koei,Koei,"September 24, 1992","September 24, 1992",September 1993,,1992-09-24,1992-09-24,1993-09-01,1992,9,1992,9,1993,9
989,P.T.O. II: Pacific Theater of Operations•Teitoku no Ketsudan IIJP,Koei,Koei,"February 17, 1995",December 1995,Unreleased,,1995-02-17,1995-12-01,,1995,2,1995,12,,
990,Pac-Attack,Namco,Namco,Unreleased,October 1993,1993,,,1993-10-01,1993-01-01,,,1993,10,1993,1
991,Pac-In-Time,Kalisto Entertainment,Namco,"January 3, 1995",January 1995,December 1994,,1995-01-03,1995-01-01,1994-12-01,1995,1,1995,1,1994,12
992,Pac-Man 2: The New Adventures•Hello! Pac-ManJP,Namco,Namco (JP/NA)Nintendo (EU),"August 26, 1994",September 1994,1994,,1994-08-26,1994-09-01,1994-01-01,1994,8,1994,9,1994,1
993,Pachi-Slot Kanzen Kouryaku: Universal Shindai Nyuuka Volume 1,,Syscom,"March 7, 1997",Unreleased,Unreleased,,1997-03-07,,,1997,3,,,,
994,Pachi-Slot Kenkyuu,,Magical Company,"July 15, 1994",Unreleased,Unreleased,,1994-07-15,,,1994,7,,,,
995,Pachi-Slot Land,I.S.C.,Carrozzeria,"February 25, 1994",Unreleased,Unreleased,,1994-02-25,,,1994,2,,,,
996,Pachi-Slot Love Story,,Coconuts Japan,"November 19, 1993",Unreleased,Unreleased,,1993-11-19,,,1993,11,,,,
997,Pachi-Slot Monogatari: Paru Kougyou Special,KAZe,KSS,"October 27, 1995",Unreleased,Unreleased,,1995-10-27,,,1995,10,,,,
998,Pachi-Slot Monogatari: Universal Special,KAZe,KSS,"July 29, 1994",Unreleased,Unreleased,,1994-07-29,,,1994,7,,,,
999,Pachi-Slot Shoubushi,Nihon Bussan,Nihon Bussan,"December 23, 1994",Unreleased,Unreleased,,1994-12-23,,,1994,12,,,,
1000,Pachinko Challenger,,Carozzeria,"July 7, 1995",Unreleased,Unreleased,,1995-07-07,,,1995,7,,,,
1001,Pachinko Fan: Shouri Sengen,,Planning Office Wada,"October 15, 1994",Unreleased,Unreleased,,1994-10-15,,,1994,10,,,,
1002,Pachinko Hi Hisshouhou,Jorudan,VAP,"November 18, 1994",Unreleased,Unreleased,,1994-11-18,,,1994,11,,,,
1003,Pachinko Monogatari: Pachi-Slot mo Aru deyo!!,KAZe,KSS,"May 28, 1993",Unreleased,Unreleased,,1993-05-28,,,1993,5,,,,
1004,Pachinko Monogatari 2: Nagoya Shachihoko no Teiou,KAZe,KSS,"January 27, 1995",Unreleased,Unreleased,,1995-01-27,,,1995,1,,,,
1005,Pachinko Renchan Tengoku: Super CR Special,Jorudan,VAP,"May 26, 1995",Unreleased,Unreleased,,1995-05-26,,,1995,5,,,,
1006,Pachinko Tetsujin: Shichiban Shoubu,Graphic Research,Daikoku,"July 7, 1995",Unreleased,Unreleased,,1995-07-07,,,1995,7,,,,
1007,Pachinko Wars,OeRSTED,Coconuts Japan,"July 17, 1992",Unreleased,Unreleased,,1992-07-17,,,1992,7,,,,
1008,Pachinko Wars II,OeRSTED,Coconuts Japan,"December 17, 1993",Unreleased,Unreleased,,1993-12-17,,,1993,12,,,,
1009,Pachiokun Special,Marioette,Coconuts Japan,"December 11, 1992",Unreleased,Unreleased,,1992-12-11,,,1992,12,,,,
1010,Pachiokun Special 2,Marioette,Coconuts Japan,"May 20, 1994",Unreleased,Unreleased,,1994-05-20,,,1994,5,,,,
1011,Pachiokun Special 3,Marioette,Coconuts Japan,"December 1, 1995",Unreleased,Unreleased,,1995-12-01,,,1995,12,,,,
1012,Packy and Marlon,Wave Quest,Raya Systems,Unreleased,June 1995,Unreleased,,,1995-06-01,,,,1995,6,,
1013,The Pagemaster,Probe Entertainment,Fox Interactive,Unreleased,November 1994,May 1995,,,1994-11-01,1995-05-01,,,1994,11,1995,5
1014,Paladin's Quest•Lennus: Kodai Kikai no KiokuJP,Asmik Ace Entertainment,Enix,"November 13, 1992",October 1993,Unreleased,,1992-11-13,1993-10-01,,1992,11,1993,10,,
1015,Panic in Nakayoshi World,Tom Create,Bandai,"November 18, 1994",Unreleased,Unreleased,,1994-11-18,,,1994,11,,,,
1016,Paperboy 2,Eastridge Technology,Mindscape,Unreleased,"November 1, 1991",1992,,,1991-11-01,1992-01-01,,,1991,11,1992,1
1017,Parlor! Mini: Pachinko Jikki Simulation Game,,Nippon Telenet,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
1018,Parlor! Mini 2: Pachinko Jikki Simulation Game,,Nippon Telenet,"June 28, 1996",Unreleased,Unreleased,,1996-06-28,,,1996,6,,,,
1019,Parlor! Mini 3: Pachinko Jikki Simulation Game,,Nippon Telenet,"September 27, 1996",Unreleased,Unreleased,,1996-09-27,,,1996,9,,,,
1020,Parlor! Mini 4: Pachinko Jikki Simulation Game,,Nippon Telenet,"November 29, 1996",Unreleased,Unreleased,,1996-11-29,,,1996,11,,,,
1021,Parlor! Mini 5: Pachinko Jikki Simulation Game,,Nippon Telenet,"March 28, 1997",Unreleased,Unreleased,,1997-03-28,,,1997,3,,,,
1022,Parlor! Mini 6: Pachinko Jikki Simulation Game,,Nippon Telenet,"May 30, 1997",Unreleased,Unreleased,,1997-05-30,,,1997,5,,,,
1023,Parlor! Mini 7: Pachinko Jikki Simulation Game,,Nippon Telenet,"August 29, 1997",Unreleased,Unreleased,,1997-08-29,,,1997,8,,,,
1024,Parodius: Non-Sense Fantasy•Parodiusu Da! Shinwa kara OwaraiJP,Konami,Konami,"July 3, 1992",Cancelled,1992,,1992-07-03,,1992-01-01,1992,7,,,1992,1
1025,The Peace Keepers•Rushing Beat ShuraJP,Jaleco,Jaleco,"March 17, 1993","March 17, 1994",Unreleased,,1993-03-17,1994-03-17,,1993,3,1994,3,,
1026,Pebble Beach no Hatou New: Tournament Edition,T&E Soft,T&E Soft,"September 13, 1996",Unreleased,Unreleased,,1996-09-13,,,1996,9,,,,
1027,PGA European Tour,Electronic Arts,Black Pearl Software,Unreleased,September 1996,December 1996,,,1996-09-01,1996-12-01,,,1996,9,1996,12
1028,PGA Tour 96,Electronic Arts,Black Pearl Software,Unreleased,"January 31, 1996",1996,,,1996-01-31,1996-01-01,,,1996,1,1996,1
1029,PGA Tour Golf,Polygames,EA Sports,"July 3, 1992","March 1, 1992",1992,,1992-07-03,1992-03-01,1992-01-01,1992,7,1992,3,1992,1
1030,Phalanx•Phalanx: The Enforce Fighter A-144JP,Kemco,Kemco,"August 7, 1992","October 1, 1992",1992,,1992-08-07,1992-10-01,1992-01-01,1992,8,1992,10,1992,1
1031,Phantom 2040,Viacom New Media,Viacom New Media,Unreleased,June 1995,November 1995,,,1995-06-01,1995-11-01,,,1995,6,1995,11
1032,Picross NP Vol. 1,,Jupiter,"April 1, 1999",Unreleased,Unreleased,,1999-04-01,,,1999,4,,,,
1033,Picross NP Vol. 2,,Jupiter,"June 1, 1999",Unreleased,Unreleased,,1999-06-01,,,1999,6,,,,
1034,Picross NP Vol. 3,,Jupiter,"August 1, 1999",Unreleased,Unreleased,,1999-08-01,,,1999,8,,,,
1035,Picross NP Vol. 4,,Jupiter,"October 1, 1999",Unreleased,Unreleased,,1999-10-01,,,1999,10,,,,
1036,Picross NP Vol. 5,,Jupiter,"December 1, 1999",Unreleased,Unreleased,,1999-12-01,,,1999,12,,,,
1037,Picross NP Vol. 6,,Jupiter,"February 1, 2000",Unreleased,Unreleased,,2000-02-01,,,2000,2,,,,
1038,Picross NP Vol. 7,,Jupiter,"April 1, 2000",Unreleased,Unreleased,,2000-04-01,,,2000,4,,,,
1039,Picross NP Vol. 8,,Jupiter,"June 1, 2000",Unreleased,Unreleased,,2000-06-01,,,2000,6,,,,
1040,Pieces•Jigsaw PartyJP,Hori Electric,Atlus,"July 22, 1994",December 1994,Unreleased,,1994-07-22,1994-12-01,,1994,7,1994,12,,
1041,Pikiinya!,Crea-Tech,ASCII,"January 31, 1997",Unreleased,Unreleased,,1997-01-31,,,1997,1,,,,
1042,Pilotwings,Nintendo,Nintendo,"December 21, 1990","August 23, 1991",1992,,1990-12-21,1991-08-23,1992-01-01,1990,12,1991,8,1992,1
1043,Pinball Dreams•Pinball PinballJP,Spidersoft,Coconuts Japan (JP)GameTek (NA/EU),"August 5, 1994",April 1994,"August 25, 1994",,1994-08-05,1994-04-01,1994-08-25,1994,8,1994,4,1994,8
1044,Pinball Fantasies,Spidersoft,GameTek,Unreleased,February 1995,February 1995,,,1995-02-01,1995-02-01,,,1995,2,1995,2
1045,Pink Goes to Hollywood•Pink PantherJP,Manley & Associates,TecMagik,"April 15, 1994",November 1993,1993,,1994-04-15,1993-11-01,1993-01-01,1994,4,1993,11,1993,1
1046,Pipe Dream,Tose,Bullet-Proof Software,"August 7, 1992",Unreleased,Unreleased,,1992-08-07,,,1992,8,,,,
1047,Pirates of Dark Water,Sunsoft,Sunsoft,Unreleased,May 1994,1994,,,1994-05-01,1994-01-01,,,1994,5,1994,1
1048,Pitfall: The Mayan Adventure•Pitfall: Maya no DaiboukenJP,Redline Games,Activision,"July 14, 1994",November 1994,November 1994,,1994-07-14,1994-11-01,1994-11-01,1994,7,1994,11,1994,11
1049,Pit-Fighter,Eastridge Technology,THQ,Unreleased,"March 1, 1992",1992,,,1992-03-01,1992-01-01,,,1992,3,1992,1
1050,Plok,Software Creations,Tradewest,"December 10, 1993",September 1993,1993,,1993-12-10,1993-09-01,1993-01-01,1993,12,1993,9,1993,1
1051,Pocky & Rocky•KiKi KaiKai: Nazo no Kuro MantleJP,Natsume,Natsume,December 1992,June 1993,August 1993,,1992-12-01,1993-06-01,1993-08-01,1992,12,1993,6,1993,8
1052,Pocky & Rocky 2•KiKi KaiKai: TsukiyozoushiJP,Natsume,Natsume (JP/NA)Ocean Software (EU),"June 17, 1994",November 1994,April 1995,,1994-06-17,1994-11-01,1995-04-01,1994,6,1994,11,1995,4
1053,Poko-Nyan! Henpokorin Adventure,,Toho,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
1054,Pop'n TwinBee,Konami,Konami (JP)Palcom Software (EU),"March 26, 1993",Unreleased,November 1993,,1993-03-26,,1993-11-01,1993,3,,,1993,11
1055,Pop'n TwinBee: Rainbow Bell Adventures •TwinBee – Rainbow Bell AdventureJP,Konami,Konami (JP)Palcom Software (EU),"January 7, 1994",Cancelled,1994,,1994-01-07,,1994-01-01,1994,1,,,1994,1
1056,Popeye: Ijiwaru Majo Sea Hag no Maki,Technōs Japan,Technōs Japan,"August 12, 1994",Cancelled,Unreleased,,1994-08-12,,,1994,8,,,,
1057,Popful Mail,Falcom,Falcom,"June 10, 1994",Unreleased,Unreleased,,1994-06-10,,,1994,6,,,,
1058,Populous,Bullfrog Productions,Acclaim Entertainment,"December 16, 1990","September 30, 1991",1992,,1990-12-16,1991-09-30,1992-01-01,1990,12,1991,9,1992,1
1059,Populous II: Trials of the Olympian Gods,Bullfrog Productions,Imagineer,"January 22, 1993",Unreleased,1993,,1993-01-22,,1993-01-01,1993,1,,,1993,1
1060,Porky Pig's Haunted Holiday,Phoenix Interactive Entertainment,Acclaim Entertainment / Sunsoft,Unreleased,October 1995,November 1995,,,1995-10-01,1995-11-01,,,1995,10,1995,11
1061,Power Drive,U.S. Gold,Rage Software,Unreleased,Cancelled,"April 27, 1995",,,,1995-04-27,,,,,1995,4
1062,Power Instinct•Gouketsuji IchizokuJP,Atlus,Atlus,"October 14, 1994",December 1994,Unreleased,,1994-10-14,1994-12-01,,1994,10,1994,12,,
1063,Power Lode Runner,Atelier Double,Nintendo,"January 1, 1999",Unreleased,Unreleased,,1999-01-01,,,1999,1,,,,
1064,Power Moves•Power AthleteJP,Kaneko,Kaneko,"November 27, 1992",January 1993,"October 4, 1993",,1992-11-27,1993-01-01,1993-10-04,1992,11,1993,1,1993,10
1065,Power of the Hired,NCS,NCS,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
1066,Power Piggs of the Dark Age,Radical Entertainment,Titus Software,Unreleased,May 1996,"September 29, 1996",,,1996-05-01,1996-09-29,,,1996,5,1996,9
1067,Power Rangers Zeo: Battle Racers,Natsume,Bandai,Unreleased,"September 17, 1996",Unreleased,,,1996-09-17,,,,1996,9,,
1068,Power Soukoban,Atelier Double,Nintendo,"June 25, 1999",Unreleased,Unreleased,,1999-06-25,,,1999,6,,,,
1069,Powermonger•Powermonger: Mashou no BouryakuJP,Bullfrog Productions,Imagineer,"March 26, 1993",Unreleased,1993,,1993-03-26,,1993-01-01,1993,3,,,1993,1
1070,Prehistorik Man•P-ManJP,Titus Software,Titus Software,"June 23, 1995",January 1996,"June 27, 1996",,1995-06-23,1996-01-01,1996-06-27,1995,6,1996,1,1996,6
1071,Primal Rage,Bitmasters,Time Warner Interactive,Unreleased,"August 25, 1995",November 1995,,,1995-08-25,1995-11-01,,,1995,8,1995,11
1072,Prince of Persia,Arsys Software,Masaya (JP)Konami (NA/EU),"July 3, 1992","November 1, 1992","November 1, 1992",,1992-07-03,1992-11-01,1992-11-01,1992,7,1992,11,1992,11
1073,Prince of Persia 2: The Shadow and the Flame,Titus Software,Titus Software,Unreleased,"October 1, 1996",1996,,,1996-10-01,1996-01-01,,,1996,10,1996,1
1074,Princess Maker: Legend of Another World,Gainax,Takara,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
1075,Princess Minerva,Atelier Double,Vic Tokai,"June 23, 1995",Unreleased,Unreleased,,1995-06-23,,,1995,6,,,,
1076,Pro Kishi Jinsei Simulation: Shougi no Hanamichi,Access,Atlus,"February 16, 1996",Unreleased,Unreleased,,1996-02-16,,,1996,2,,,,
1077,Pro Mahjong Kiwame,,Athena,"June 11, 1993",Unreleased,Unreleased,,1993-06-11,,,1993,6,,,,
1078,Pro Mahjong Kiwame II,,Athena,"July 22, 1994",Unreleased,Unreleased,,1994-07-22,,,1994,7,,,,
1079,Pro Mahjong Kiwame III,,Athena,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
1080,Pro Mahjong Tsuwamono,,Culture Brain,"April 18, 1997",Unreleased,Unreleased,,1997-04-18,,,1997,4,,,,
1081,Pro Mahjong Tsuwamono: Renka Han,,Culture Brain,"March 28, 1998",Unreleased,Unreleased,,1998-03-28,,,1998,3,,,,
1082,Pro Quarterback,Leland Interactive Media,Tradewest,Unreleased,"December 31, 1992",Unreleased,,,1992-12-31,,,,1992,12,,
1083,Pro Sport Hockey•USA Ice HockeyJP,Tose,Jaleco,"March 19, 1993",February 1994,Unreleased,,1993-03-19,1994-02-01,,1993,3,1994,2,,
1084,Pro Yakyuu Nettou: Puzzle Stadium,,Coconuts Japan,"April 25, 1997",Unreleased,Unreleased,,1997-04-25,,,1997,4,,,,
1085,Pro Yakyuu Star,Culture Brain,Culture Brain,"January 17, 1997",Unreleased,Unreleased,,1997-01-17,,,1997,1,,,,
1086,Psycho Dream•Dream ProbeNA,Riot,Telent Japan,"December 11, 1992",Cancelled,Unreleased,,1992-12-11,,,1992,12,,,,
1087,Pushover,Red Rat Software,Ocean Software,Unreleased,"December 31, 1992",1992,,,1992-12-31,1992-01-01,,,1992,12,1992,1
1088,Putty Squad,System 3,Ocean Software,Unreleased,Unreleased,1994,,,,1994-01-01,,,,,1994,1
1089,Puzzle'n Desu!,Nichibutsu,Nichibutsu,"April 14, 1995",Unreleased,Unreleased,,1995-04-14,,,1995,4,,,,
1090,Q*bert 3,Realtime Associates,NTVIC,"January 29, 1993","October 1, 1992",Unreleased,,1993-01-29,1992-10-01,,1993,1,1992,10,,
1091,Race Drivin',Imagineering,THQ,Unreleased,"July 10, 1992","October 1, 1992",,,1992-07-10,1992-10-01,,,1992,7,1992,10
1092,Radical Rex,Laser Beam Entertainment,Activision,Unreleased,October 1994,September 1994,,,1994-10-01,1994-09-01,,,1994,10,1994,9
1093,Raiden Trad•Raiden DensetsuJP,Seibu Kaihatsu/Toei Company/Micronics,Electro Brain,"November 29, 1991","April 1, 1992",Unreleased,,1991-11-29,1992-04-01,,1991,11,1992,4,,
1094,Rampart,Bitmasters,Electronic Arts,Unreleased,"August 1, 1992",Unreleased,,,1992-08-01,,,,1992,8,,
1095,Ranma ½: Akaneko-dan teki Hihou,,Toho,"October 22, 1993",Cancelled,Unreleased,,1993-10-22,,,1993,10,,,,
1096,Ranma ½: Chougi Rambuhen,Atelier Double,Shogakukan,"April 28, 1994",Unreleased,Unreleased,,1994-04-28,,,1994,4,,,,
1097,Ranma ½: Hard Battle•Ranma ½EU•Ranma Nibun-no-Ichi: Bakuretsu RantōhenJP,Atelier Double,DTMC,"December 25, 1992",November 1993,"November 12, 1993",,1992-12-25,1993-11-01,1993-11-12,1992,12,1993,11,1993,11
1098,Ranma ½: Ougi Jaanken,Atelier Double,Shogakukan,"July 21, 1995",Unreleased,Unreleased,,1995-07-21,,,1995,7,,,,
1099,Rap Jam: Volume One,64WD Creation,Motown Software,Unreleased,January 1995,Unreleased,,,1995-01-01,,,,1995,1,,
1100,Realm,Titus Software,Titus Software,Unreleased,December 1996,"February 27, 1996",,,1996-12-01,1996-02-27,,,1996,12,1996,2
1101,Red Riding Hood Chacha,Landwarf,TOMY,"August 9, 1996",Unreleased,Unreleased,,1996-08-09,,,1996,8,,,,
1102,Redline F-1 Racer•Aguri Suzuki F-1 Super DrivingEU•Suzuki Aguri no F-1 Super DrivingJP,Genki,LOZC G. Amusements (JP)Absolute Entertainment (NA)Altron (EU),"July 14, 1993",September 1993,1993,,1993-07-14,1993-09-01,1993-01-01,1993,7,1993,9,1993,1
1103,Rejoice: Aretha Ōkoku no Kanata,Japan Art Media,Yanoman,"April 21, 1995",Unreleased,Unreleased,,1995-04-21,,,1995,4,,,,
1104,Relief Pitcher,Eastridge Technology,Left Field Entertainment,Unreleased,May 1994,Unreleased,,,1994-05-01,,,,1994,5,,
1105,The Ren & Stimpy Show: Buckaroo$!,Imagineering,THQ,Unreleased,April 1995,Unreleased,,,1995-04-01,,,,1995,4,,
1106,The Ren & Stimpy Show: Fire Dogs,Argonaut Games,THQ,Unreleased,June 1994,February 1995,,,1994-06-01,1995-02-01,,,1994,6,1995,2
1107,The Ren & Stimpy Show: Time Warp,Sculptured Software,THQ,Unreleased,November 1994,1994,,,1994-11-01,1994-01-01,,,1994,11,1994,1
1108,The Ren & Stimpy Show: Veediots!,Gray Matter,THQ,Unreleased,October 1993,1993,,,1993-10-01,1993-01-01,,,1993,10,1993,1
1109,Rendering Ranger: R2,Rainbow Arts,Virgin Interactive,"November 17, 1995",Unreleased,Unreleased,,1995-11-17,,,1995,11,,,,
1110,Res Arcana: Diana Ray: Uranai no Meikyuu,Marionette,Coconuts Japan,"April 14, 1995",Unreleased,Unreleased,,1995-04-14,,,1995,4,,,,
1111,Revolution X,Software Creations,Acclaim Entertainment,"March 1, 1996",December 1995,1995,,1996-03-01,1995-12-01,1995-01-01,1996,3,1995,12,1995,1
1112,Rex Ronan: Experimental Surgeon,Sculptured Software,Raya Systems,Unreleased,May 1994,Unreleased,,,1994-05-01,,,,1994,5,,
